priority,module,category,metric_name,definition,formula,dimensions,rules,confirmation,follow_up,owner,source_table,source_field_or_logic,notes
P1,订单履约分布,,拆分订单量,统计周期内，有效已付款拆分订单总数,统计周期内，已付款有效拆分订单总数（含异常状态订单，拆单废弃订单不统计）,时间（付款日期_北京）、收件区域、收件国家,因为拆单废弃的不统计，比如CO单又被拆分成_1和_2，这样只看拆后的那两个。其他类型的废弃需要计算在内；整单只有虚拟商品的暂不剔除只做标记,,,,计算,,已有
P1,订单履约分布,,未审核订单量,统计周期内，处于待审核状态的拆分订单总数,统计周期内，待审核状态的拆分订单总数,时间（付款日期_北京）、收件区域、收件国家,,,,,计算,,已有
P1,订单履约分布,,待发货订单量,统计周期内，处于待发货状态的拆分订单总数,统计周期内，处于待发货状态的拆分订单总数,时间（付款日期_北京）、收件区域、收件国家,,,,,计算,,已有
P1,订单履约分布,,已发货订单量,统计周期内，已发货的拆分订单总数,统计周期内，已发货的拆分订单总数,时间（付款日期_北京）、收件区域、收件国家,,,,,计算,,已有
P1,订单履约分布,,累计发货率,已发货订单占拆分总单量比例,已发货订单量/拆分总单量,时间（付款日期_北京）、收件区域、收件国家,,,,,计算,,
P1,订单履约分布,,累计商品发货率,已发货订单的商品供应链SKU数量占总订单供应链SKU数量的比例,已发货订单的商品供应链SKU数量/总订单供应链SKU数量,时间（付款日期_北京）、收件区域、收件国家,含虚拟商品/总商品为供应链sku维度,,,,计算,,
P1,订单履约分布,,整单发货率,订单内全部商品均完成发货的原始单量占比,订单中商品全部发货完成的原始单量/原始总单量,时间（付款日期_北京）、收件区域、收件国家,虚拟商品也须虚拟发货完结,,,,计算,,
P1,订单履约分布,,3天发货率,付款到发货＜3天订单占拆分总单量比例,付款发货间隔h<3天的订单量/总单量,时间（付款日期_北京）、收件区域、收件国家,,,,,计算,,
P1,订单履约分布,,3天商品发货率,付款到发货＜3天订单的商品供应链SKU数量占总订单供应链SKU数量的比例,付款发货间隔h<3天的已发货供应链SKU数量/总订单供应链SKU数量,时间（付款日期_北京）、收件区域、收件国家,,,,,计算,,
P3,区域渠道妥投分布,,发货包裹数,统计维度下有效物流跟踪号包裹总数，按唯一跟踪号计数，非订单维度,跟踪单号的数量,,,,,,计算,,
P3,区域渠道妥投分布,,签收包裹数,统计维度下已完成签收的包裹数量，按已签收跟踪号计数，待TMS系统对接后落地,,,,,签收状态目前没有,,计算,,
P3,区域渠道妥投分布,,累计签收率,累计签收率：nan，已做标准化规范，明确统计口径与计算规则,,,,,签收状态目前没有,,计算,,
P3,区域渠道妥投分布,,3天签收率,各时间阈值内签收包裹占发货包裹比例,,,,,签收状态目前没有,,计算,,
P3,区域渠道妥投分布,,5天签收率,各时间阈值内签收包裹占发货包裹比例,,,,,签收状态目前没有,,计算,,
P3,区域渠道妥投分布,,7天签收率,各时间阈值内签收包裹占发货包裹比例,,,,,签收状态目前没有,,计算,,
P3,区域渠道妥投分布,,10天签收率,各时间阈值内签收包裹占发货包裹比例,,,,,签收状态目前没有,,计算,,
P3,区域渠道妥投分布,,12天签收率,各时间阈值内签收包裹占发货包裹比例,,,,,签收状态目前没有,,计算,,
P1,商品履约分布,,订单商品总数量,统计周期内，订单中的商品供应链SKU数量,统计周期内，订单中的商品供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,已发货商品数量,统计周期内，已发货商品供应链SKU数量,统计周期内，已发货商品供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,累计商品发货率,已发货订单的商品供应链SKU数量占总订单供应链SKU数量的比例,已发货订单的商品供应链SKU数量/总订单供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,3天发货商品数量,3天内发货的商品供应链SKU数量,3天内发货的商品供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,3天商品发货率,付款到发货＜3天订单的商品供应链SKU数量占总订单供应链SKU数量的比例,付款到发货＜3天订单的商品供应链SKU数量/总订单供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,5天发货商品数量,5天内发货的商品供应链SKU数量,5天内发货的商品供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,5天商品发货率,付款到发货＜5天订单的商品供应链SKU数量占总订单供应链SKU数量的比例,付款到发货＜5天订单的商品供应链SKU数量/总订单供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,7天发货商品数量,7天内发货的商品供应链SKU数量,7天内发货的商品供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P1,商品履约分布,,7天商品发货率,付款到发货＜7天订单的商品供应链SKU数量占总订单供应链SKU数量的比例,付款到发货＜7天订单的商品供应链SKU数量/总订单供应链SKU数量,GTM组、品类（三级类目）、spu名称、供应链SKU,,,,,计算,,
P2,发货效能,,发货时间,订单商品实际出库发货北京时间戳，是发货时效指标的核心截止时间,,,,,,,计算,,
P2,发货效能,,发货单量,按时间+仓库类型维度聚合的发货订单数量，反映各仓型的履约处理规模,,,,,,,计算,,
P2,发货效能,,发货商品数量,按时间+仓库类型维度聚合的发货SKU件数，反映各仓型的商品处理规模,,,,,,,计算,,
P2,发货效能,,小包仓处理单量,仓库类型=小包仓处理单量,,,,渠道规则：独立站对应海南路特那两个？小包仓的范围,,,计算,,
P2,发货效能,,小包仓处理商品量,小包仓处理商品量：nan，已做标准化规范，明确统计口径与计算规则,,,,渠道规则：独立站对应海南路特那两个？小包仓的范围,,,计算,,
P2,发货效能,,海外仓处理单量,海外仓处理单量：nan，已做标准化规范，明确统计口径与计算规则,,,,,,,计算,,
P2,发货效能,,海外仓处理商品量,海外仓处理商品量：nan，已做标准化规范，明确统计口径与计算规则,,,,,,,计算,,
P2,审核效能,,审核人,订单每次审核的操作人，用于审核效能的人员维度聚合,,,,,同一个订单多次审核时，单每次间隔,,计算,,
P2,审核效能,,累计审核单量,按审核人统计的累计审核订单去重数/审单总次数？,,审核人,,,同一个订单多次审核时，单每次间隔,,计算,,
P2,审核效能,,累计审核单量占比,按审核人统计的累计审核订单去重数/审单次数占审单总次数的占比,,审核人,,,,,,,
P2,审核效能,,平均审单间隔h,全量拆分订单，付款到末次审核的时长平均值，反映运营审单环节的平均处理效率,Σ(末次审核时间-付款时间) ÷ 拆分总单量,审核人,,,同一个订单多次审核时，单每次间隔,,计算,,
P3,缺货分析,,缺货率,,,,,,,,计算,,
P3,,,直发占比,中仓发货的订单占总订单的比例,中仓发货订单数/总订单数,,,,,,,,
